condition,seed,scenario,n_episodes,sim_steps,wall_s,reward,reward_std,ep_length,ep_length_std,vx_abs_err,vx_abs_err_std,vy_abs_err,vy_abs_err_std,mean_height,mean_height_std,below_thresh_frac,below_thresh_frac_std,energy_per_step,energy_per_step_std,torque_peak,torque_peak_std,torque_peak_std_acrossdofs,torque_peak_std_acrossdofs_std,energy_std_acrossdofs,energy_std_acrossdofs_std,mean_jerk,mean_jerk_std,fatigue_max_acrossdofs,fatigue_max_acrossdofs_std,fatigue_std_acrossdofs,fatigue_std_acrossdofs_std,early_terminated,early_terminated_std,survived,survived_std,error
reference,6,payload_8kg,69,3578,55.3,40.13424279292425,39.73081989899072,2824.942028985507,1167.9970019610241,0.5855600494837415,0.19846746368041132,0.1010961265883584,0.044980006566980604,0.20520907586467438,0.07801355704469459,0.5665153434797041,0.3565320045432777,1.0698590172805649,0.3956610379157237,26.1102604796921,1.915794576316322,2.792640105537746,0.6290070546874338,0.04582053387834542,0.01878436460146279,857.0689504872198,390.78848468765386,1.0241085213163625,0.035110234294094496,0.1349932375377503,0.021622002393941145,1.0,0.0,0.0,0.0,
reference,6,push_x_1p5,64,3578,48.4,229.6203039586544,71.85257723754883,3093.53125,870.8610402290878,0.08416051274980418,0.05126549364347383,0.07450344058452174,0.025426498049921302,0.3167059114202857,0.039764358921499265,0.13872261302822153,0.14057256197410006,0.7321909666061401,0.04724407022287036,25.42092341184616,2.5858113242453586,4.148693103343248,0.9265419185442155,0.037357629102189094,0.0014562058232996946,826.4489221572876,182.44556081732728,0.8924992764368653,0.08825567923117542,0.17857829574495554,0.02287204120101801,1.0,0.0,0.0,0.0,
reference,7,payload_8kg,64,4571,68.0,81.19247648864985,41.900195422922614,3410.296875,695.5140540313753,0.38924313441384584,0.2227673021697822,0.10434916013036855,0.029890550727746486,0.2084735210519284,0.0615112917731633,0.5462011640192941,0.28603458876792703,1.1984805252868682,0.35264320869913623,25.639514178037643,1.715329558182059,2.509050952270627,0.5264355342596488,0.04976207923391485,0.015766950959689285,842.3564702272415,363.77456663326404,1.0036913100630045,0.02890882170582732,0.12835470715072006,0.021370917481766817,0.96875,0.17536809360305042,0.03125,0.17536809360305042,
reference,7,push_x_1p5,67,3578,49.1,200.09731970260393,93.81343075603627,2731.0,1135.8968289684613,0.10026415726586954,0.0619801593139517,0.09116202081317332,0.048304440475068315,0.31377199336664,0.04912088662987347,0.18449989404640535,0.18198260302009153,0.719666573538709,0.04451791214821333,26.063432095655756,2.9915077314915295,4.004344146643112,0.7939914688392662,0.038720246738017494,0.0015605234024836088,1079.5864622201493,151.31615905677535,0.8816003746061183,0.09013967129193236,0.1846530128325989,0.02726854213699955,1.0,0.0,0.0,0.0,
reference,8,payload_8kg,64,4287,65.0,74.2301585227251,38.374420199747,3410.84375,614.6380589032711,0.4182259840890765,0.21930359129661586,0.08683914605353493,0.0294067214403644,0.19088499929057434,0.054471559059423406,0.6232147698174231,0.2710867296060573,1.1781379556050524,0.369091279758322,25.548016786575317,0.899694125915693,2.3681214973330498,0.446262113776922,0.05056659429828869,0.018261770099503843,763.0119477510452,249.36085022021263,1.039989939890802,0.029990226828323606,0.12646426481660455,0.01891691823222128,1.0,0.0,0.0,0.0,
reference,8,push_x_1p5,64,3578,48.7,238.13129422068596,78.18701021963956,3095.875,908.0692495095085,0.08084061605040915,0.050134972430364584,0.06307986512547359,0.02959575129003842,0.3198798920493573,0.050386150699252966,0.18516764771084127,0.17294199077305053,0.7395131755620241,0.050630770062950324,25.612783402204514,3.077583340218997,4.42990081384778,0.7430296952618941,0.035556338814785704,0.0013937782343115027,837.7315855026245,232.9627768901377,0.9167753187939525,0.07245012986903239,0.19711906486190856,0.02308302310811458,1.0,0.0,0.0,0.0,
no_fatigue,1,payload_8kg,64,3578,52.5,170.30506873130798,17.26379971444819,3578.0,0.0,0.30659813224337995,0.16796891447760062,0.07560582750011235,0.015964558207224096,0.12935472262324765,0.04616721650196947,0.8457675388490316,0.1603167120201991,1.7255732412450016,0.3807185952671617,28.649002373218536,0.6612630515796686,2.462681721895933,0.2559345716843701,0.060328803207085,0.01558371750393514,8419.722743034363,1505.4514586717867,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
no_fatigue,1,push_x_1p5,64,3578,48.2,220.39100575447083,23.60369177783334,3531.390625,274.23548085237496,0.07816613593604416,0.024310058270383104,0.06960284465458244,0.013466675453122752,0.304975641425699,0.04453839979335078,0.22219231173949083,0.18607010169461763,1.8025999274104834,0.04122620400743024,33.05941033363342,4.477553705250539,3.2939094733446836,1.2959826493010453,0.06825580971781164,0.002001840337799583,24014.300567626953,214.77632355014018,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
no_fatigue,2,payload_8kg,64,3578,52.0,166.29772353172302,18.477277149198905,3578.0,0.0,0.33981225825846195,0.1393961554660803,0.08162149306735955,0.015166444317100139,0.1200370560400188,0.04733341662268057,0.8796420814469457,0.1288761119621449,1.5886818850412965,0.24431013992534528,27.64237406849861,0.7906581397687066,1.9935071021318436,0.22448267264226118,0.05092556233284995,0.011151510535224,12306.990859985352,1143.3213898246156,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
no_fatigue,2,push_x_1p5,64,3578,47.9,228.14651584625244,13.919387113348805,3569.203125,70.375,0.07350150097045116,0.02362378255074698,0.0641410198295489,0.010635124831558228,0.3053438379429281,0.04000132900199875,0.19900392995623406,0.1647372654109991,1.6450433395802975,0.042384773991219225,31.36355510354042,3.310938744523796,2.6675249747931957,0.8855983887942589,0.0631784595316276,0.0017203960498101514,27745.75665283203,401.71232162983785,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
